DrugBank_ID,Ligand_SMILES
D2323,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cn([C@@H]2COC[C@H]2OC)c2ccccc12
D2324,O=C(NC1CC1)c1cnn2c3NCCOc3c(Nc3cccn(C4CCOCC4)c3=O)nc12
D2325,O=C(NC1CC1)c1cnn2c3NCCOc3c(Nc3cccc4ocnc34)nc12
D2326,F[C@H]1C[C@H]1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn(C4CCOCC4)c3=O)nc12
D2327,F[C@H]1C[C@H]1NC(=O)c1cnn2c3NCCOc3c(Nc3cccc4ocnc34)nc12
D2328,CC(C)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)NC2CC[C@H]2O)c2cccnc12
D2329,CC(C)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)N[C@H]2CC[C@H]2O)c2cccnc12
D2330,CC(C)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)N[C@@H]2CC[C@@H]2O)c2cccnc12
D2331,O[C@H]1C[C@@H](C1)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)NC2CC[C@@H]2F)c2cccnc12
D2332,O[C@H]1C[C@@H](C1)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)N[C@H]2CC[C@@H]2F)c2cccnc12
D2333,O[C@H]1C[C@@H](C1)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)N[C@@H]2CC[C@H]2F)c2cccnc12
D2334,CO[C@@H]1CCC1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn(C(C)C)c3=O)nc12
D2335,CO[C@@H]1CC[C@H]1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn(C(C)C)c3=O)nc12
D2336,CO[C@@H]1CCC1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn([C@@H]4[C@H]5COC[C@@H]45)c3=O)nc12
D2337,CO[C@H]1CC[C@@H]1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn([C@@H]4[C@H]5COC[C@@H]45)c3=O)nc12
D2338,CC(C)n1cccc(Nc2nc3c(cnn3c3NCCOc23)C(=O)NC2CCC2(F)F)c1=O
D2339,CC(C)n1cccc(Nc2nc3c(cnn3c3NCCOc23)C(=O)N[C@H]2CCC2(F)F)c1=O
D2340,CC(C)n1cccc(Nc2nc3c(cnn3c3NCCOc23)C(=O)N[C@@H]2CCC2(F)F)c1=O
D2341,FC1(F)CCC1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn([C@@H]4[C@H]5COC[C@@H]45)c3=O)nc12
D2342,FC1(F)CC[C@H]1NC(=O)c1cnn2c3NCCOc3c(Nc3cccn([C@@H]4[C@H]5COC[C@@H]45)c3=O)nc12
D2343,FC1(F)CCC1NC(=O)c1cnn2c3NCCOc3c(nc12)-c1cn(C2COC2)c2ncccc12
D2344,FC1(F)CC[C@H]1NC(=O)c1cnn2c3NCCOc3c(nc12)-c1cn(C2COC2)c2ncccc12
D2345,FC1(F)CC[C@@H]1NC(=O)c1cnn2c3NCCOc3c(nc12)-c1cn(C2COC2)c2ncccc12
D2346,F[C@H]1CCC1NC(=O)c1cnn2c3NCCOc3c(nc12)-c1cn(C2COC2)c2ncccc12
D2347,O[C@H]1C[C@@H](C1)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)NC2CCC2(F)F)c2cccnc12
D2348,O[C@H]1C[C@@H](C1)n1cc(-c2nc3c(cnn3c3NCCOc23)C(=O)N[C@H]2CCC2(F)F)c2cccnc12
D2349,CNc1cc(Nc2cccn([C@@H]3C[C@@H](C3)OC)c2=O)nc2c(cnn12)C(=O)NC1CC[C@@H]1OC
D2350,CNc1ccc(-c2cc(NC)n3ncc(C(=O)N[C@H]4CC[C@H]4F)c3n2)n2ccnc12
D2351,CNc1ccc(-c2cc(NC)n3ncc(C(=O)N[C@@H]4CC[C@@H]4F)c3n2)n2ccnc12
D2352,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cn([C@@H]2COC[C@H]2OC)c2ccccc12
D2353,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cn([C@H]2COC[C@@H]2OC)c2ccccc12
D2354,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cn([C@H]2COC[C@@H]2OC)c2ccccc12
D2355,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@@H]2[C@H]3COC[C@@H]23)c2ncccc12
D2356,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2[C@H]3COC[C@@H]23)c2ncccc12
D2357,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn(CCOC)c2ncccc12
D2358,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cn([C@H]2CCOC[C@H]2OC)c2ncccc12
D2359,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cn([C@@H]2CCOC[C@@H]2OC)c2ncccc12
D2360,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cnc2n(cccc12)[C@H]1CCOC[C@H]1F
D2361,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@H]2CCOC[C@@H]2F)c2ncccc12
D2362,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2CCOC[C@H]2F)c2ncccc12
D2363,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2CCC3(C2)OCCO3)c2ncccc12
D2364,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@H]2CCC3(C2)OCCO3)c2ncccc12
D2365,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CCC1(F)F)-c1cn([C@H]2CCOC[C@H]2OC)c2ncccc12
D2366,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1COC[C@@H]1O)-c1cn([C@@H]2CCC[C@@H]2F)c2ncccc12
D2367,CNc1cc(nc2c(cnn12)C(=O)NC1COC[C@H]1O)-c1cn([C@H]2CCOC[C@@H]2F)c2ncccc12
D2368,CNc1cc(nc2c(cnn12)C(=O)NC1CC1)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2369,CNc1cc(nc2c(cnn12)C(=O)NC1CC1)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2370,CNc1cc(nc2c(cnn12)C(=O)NC1CC1)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2371,CNc1cc(nc2c(cnn12)C(=O)NC1CC1)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1O
D2372,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2373,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2374,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2375,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2376,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2377,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1C[C@@H]1F)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1O
D2378,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2379,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2380,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2381,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2382,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2383,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2384,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2385,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2386,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2387,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2388,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2389,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2390,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2391,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2392,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1O
D2393,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1O
D2394,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2395,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1F)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2396,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2397,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2398,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2399,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2400,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2401,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2402,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2403,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@@H]1O)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2404,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2405,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2406,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2407,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2408,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2409,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2410,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2411,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2412,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2413,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2414,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1O
D2415,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1O
D2416,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1O
D2417,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1OC
D2418,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@H]1CCOC[C@@H]1OC
D2419,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1OC
D2420,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC[C@H]1OC
D2421,CNc1cc(nc2c(cnn12)C(=O)NC1CCC1(F)F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2422,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CCC1(F)F)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1O
D2423,CNc1cc(nc2c(cnn12)C(=O)NC1CCC1(F)F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2424,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CCC1(F)F)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1O
D2425,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1ccc(N2CC[C@@H](C2)OC)c2nccn12
D2426,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cn([C@@H]2C[C@H](COC)C2)c2ncccc12
D2427,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@@H]1O)-c1cn([C@@H]2C[C@H](COC)C2)c2ncccc12
D2428,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1O)-c1cn([C@@H]2[C@H]3COC[C@@H]23)c2ncccc12
D2429,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cn([C@H]2CCOC[C@@H]2F)c2ncccc12
D2430,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cn([C@@H]2CCOC[C@H]2F)c2ncccc12
D2431,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn(CC(=O)N(C)C)c2ncccc12
D2432,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn(CC(=O)N(C)C)c2ncccc12
D2433,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn(CCOC)c2ncccc12
D2434,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@@H]2C[C@@H](C2)OC)c2ncccc12
D2435,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2C[C@@H](C2)OC)c2ncccc12
D2436,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn(CC(=O)N2CCC2)c2ncccc12
D2437,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn(CC(=O)N2CCC2)c2ncccc12
D2438,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn(CC(=O)N2CCCC2)c2ncccc12
D2439,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@@H]2C[C@H](COC)C2)c2ncccc12
D2440,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2C[C@H](COC)C2)c2ncccc12
D2441,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cn([C@@H]2C[C@H](COC)C2)c2ncccc12
D2442,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1COC[C@H]1O)-c1cn([C@@H]2CCOC[C@H]2F)c2ncccc12
D2443,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cnc2n(cccc12)[C@@H]1CCOC[C@@H]1F
D2444,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cnc2n(cccc12)[C@@H]1CCOC[C@@H]1F
D2445,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cnc2n(cccc12)[C@H]1CCOC[C@H]1F
D2446,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CN(C)C[C@H]1OC
D2447,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CN(C)C[C@H]1OC
D2448,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1CN(C)C[C@@H]1OC
D2449,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1CN(C)C[C@@H]1OC
D2450,CNc1cc(nc2c(cnn12)C(=O)NC1COC[C@H]1O)-c1cnc2n(cccc12)[C@H]1CCOC[C@H]1F
D2451,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1COC[C@@H]1O)-c1cnc2n(cccc12)[C@H]1CCOC[C@H]1F
D2452,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1COC[C@@H]1O)-c1cnc2n(cccc12)[C@@H]1CCOC[C@@H]1F
D2453,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1O)-c1cn([C@@H]2[C@H]3COC[C@@H]23)c2ncccc12
D2454,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(CC(=O)N(C)C)cccc12
D2455,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(CC(=O)N3CCOCC3)cccc12
D2456,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn(CC(=O)N2CCOCC2)c2ncccc12
D2457,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn(CC(=O)N2CCCC2)c2ncccc12
D2458,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(CC(=O)N3CCC3)cccc12
D2459,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(CC(=O)N3CC4(COC4)C3)cccc12
D2460,CNc1cc(Nc2cccn(C3CCOCC3)c2=O)nc2c(cnn12)C(=O)N[C@@H]1CC[C@]1(O)C(F)(F)F
D2461,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(CC(=O)N3CCC3)cccc12
D2462,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(CC(C)(C)O)cccc12
D2463,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1O)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2464,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(CCCN3CCOCC3)cccc12
D2465,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1O)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2466,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(CC(C)(C)O)cccc12
D2467,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)C1CCOCC1
D2468,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(CCCN3CCOCC3)cccc12
D2469,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@H]1O)-c1cn(C(C)C)c2nnccc12
D2470,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn(C(C)C)c2nnccc12
D2471,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1CCOC1
D2472,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC1
D2473,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1O)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2474,CO[C@H]1CCC1NC(=O)c1cnn2c(N)cc(nc12)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2475,CO[C@H]1CCC1NC(=O)c1cnn2c(N)cc(nc12)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2476,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@H]1O)-c1cn(C(C)C)c2nnccc12
D2477,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@H]1CCOC1
D2478,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC1
D2479,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)[C@@H]1CCOC1
D2480,CO[C@H]1CC[C@@H]1NC(=O)c1cnn2c(N)cc(nc12)-c1cnc2n(cccc12)[C@H]1COC[C@@H]1OC
D2481,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cn(C(C)C)c2nnccc12
D2482,CO[C@H]1CC[C@@H]1NC(=O)c1cnn2c(N)cc(nc12)-c1cnc2n(cccc12)[C@@H]1COC[C@H]1OC
D2483,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(CC(=O)N3CC4(COC4)C3)cccc12
D2484,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(CC(=O)N3CC4(COC4)C3)cccc12
D2485,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)C1CCOCC1
D2486,CNc1cc(nc2c(cnn12)C(=O)N[C@@H]1CC[C@H]1OC)-c1cnc2n(cccc12)C1CCOCC1
D2487,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@H]2CN(C)C(=O)C2)c2ncccc12
D2488,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@@H]2CN(C)C(=O)C2)c2ncccc12
D2489,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@H]2CO[C@@H](COC)C2)c2ncccc12
D2490,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cnc2n(cccc12)C1CCN(CCOC)CC1
D2491,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@H]2CN(C)C(=O)C2)c2ncccc12
D2492,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2CN(C)C(=O)C2)c2ncccc12
D2493,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@H]2CN(C3CCOCC3)C(=O)C2)c2ncccc12
D2494,CNc1cc(nc2c(cnn12)C(=O)NC1CC[C@@H]1OC)-c1cn([C@@H]2CN(C3CCOCC3)C(=O)C2)c2ncccc12
D2495,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@H]2CN(C3CCOCC3)C(=O)C2)c2ncccc12
D2496,CNc1cc(nc2c(cnn12)C(=O)N[C@H]1CC[C@@H]1OC)-c1cn([C@@H]2CN(C3CCOCC3)C(=O)C2)c2ncccc12
D2497,OC(C(=O)O[C@H]1CN2CCC1CC2)(c1ccccc1)c1ccccc1
D2498,OC(=O)CCc1ccccc1CC1C2CCC(O2)C1c1nc(co1)C(=O)NCCCCc1ccc(Cl)cc1
D2499,CCCCCCCNC(=O)c1coc(n1)C1C2CCC(O2)C1Cc1ccccc1CCC(O)=O
D2500,CN(C)C1C=CC2=C(c3ccc(cc3OC2=C1)N(C)C)c1ccc(cc1C(=O)N[C@H](CCCCN)C(=O)NC(N)=NCCC[C@@H](NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNCCNS(=O)(=O)c1cccc2cnccc12)C(N)=O)C(O)=O
D2501,CC1(C)C2=C3C=C4C(CC[N+]5=C4C(C)(C)c4cc(CC(=O)NCCCC[C@@H](NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCN=C(N)N)NC(=O)CCCCCCCNCCNS(=O)(=O)c6cccc7cnccc67)C(N)=O)ccc54)OC3CCN2c2ccc(cc12)S(C)(=O)=O
D2502,NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)S(=O)(=O)CCO
D2503,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O
D2504,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1
D2505,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O
D2506,CCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)C(\C)=C/C)C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@H](C[C@](C)(OC(C)=O)[C@@H]12)OC(=O)CCC
D2507,COc1cc(ccc1Oc1ccc(Cl)cc1Cl)C(O)=O
D2508,CC(C)[C@@H](C(=O)N1CC2CCC(CC2)C1)n1cc(nn1)-c1ccc(cc1)S(N)(=O)=O
