DrugBank_ID,UniProt_ID,Kd(nM)
D4407,P130,0.64
D4408,P179,0.64
D2700,P260,0.64
D4403,P65,0.64
D265,P291,0.64
D265,P291,0.64
D4403,P65,0.64
D4409,P212,0.64
D4410,P487,0.64
D4411,P121,0.64
D103,P48,0.64
D44,P105,0.64
D81,P105,0.64
D61,P31,0.64
D954,P11,0.64
D4412,P16,0.64
D417,P129,0.64
D4413,P267,0.64
D3685,P168,0.64
D4414,P121,0.643
D4407,P130,0.645654
D4415,P148,0.645654
D4416,P89,0.649
D253,P385,0.65
D4417,P35,0.65
D4418,P35,0.65
D4419,P35,0.65
D4420,P278,0.65
D4421,P278,0.65
D4422,P278,0.65
D4423,P278,0.65
D4424,P278,0.65
D4425,P278,0.65
D4426,P278,0.65
D4427,P278,0.65
D4428,P278,0.65
D4429,P278,0.65
D4430,P278,0.65
D4431,P278,0.65
D4432,P278,0.65
D4433,P278,0.65
D4434,P278,0.65
D4435,P278,0.65
D4436,P407,0.65
D265,P385,0.65
D3266,P65,0.65
D265,P385,0.65
D4407,P130,0.65
D3265,P437,0.65
D4437,P135,0.65
D923,P11,0.65
D3426,P402,0.65
D348,P31,0.65
D3711,P421,0.65
D4415,P148,0.65
D4438,P478,0.65
D3247,P248,0.652
D4439,P89,0.656
D4440,P89,0.658
D4441,P57,0.66
D4442,P35,0.66
D4443,P35,0.66
D4444,P78,0.66
D4445,P91,0.66
D4446,P42,0.66
D4447,P72,0.66
D227,P291,0.66
D3303,P65,0.66
D587,P154,0.66
D4448,P221,0.66
D332,P16,0.66
D898,P32,0.66
D4449,P38,0.66
D4450,P34,0.66
D4451,P135,0.66
D4452,P135,0.66
D182,P46,0.66
D2634,P46,0.66
D925,P11,0.66
D3711,P421,0.66
D3647,P26,0.660693
D4453,P89,0.665
D4454,P89,0.666
D3234,P209,0.67
D4455,P35,0.67
D4456,P33,0.67
D4457,P142,0.67
D701,P488,0.67
D3265,P209,0.67
D3234,P209,0.67
D3234,P209,0.67
D2656,P489,0.67
D3627,P466,0.67
D2517,P153,0.67
D4458,P490,0.67
D489,P16,0.67
D91,P11,0.67
D163,P11,0.67
D51,P16,0.67
D898,P32,0.67
D59,P16,0.67
D4459,P491,0.67
D4460,P491,0.67
D4461,P491,0.67
D4459,P491,0.67
D4462,P193,0.67
D4463,P89,0.673
D880,P324,0.676
D4464,P257,0.676
D3665,P26,0.676083
D4465,P492,0.676083
D4466,P65,0.68
D4467,P35,0.68
D4468,P89,0.68
D2733,P78,0.68
D2651,P291,0.68
D227,P291,0.68
D2651,P291,0.68
D227,P291,0.68
D3266,P65,0.68
D3631,P317,0.68
D2651,P291,0.68
D181,P46,0.68
D166,P48,0.68
D4469,P89,0.681
D4470,P89,0.685
D4471,P89,0.688
D2733,P272,0.69
D227,P272,0.69
D4466,P65,0.69
D4472,P35,0.69
D4473,P35,0.69
D4474,P35,0.69
D4475,P247,0.69
D4475,P247,0.69
D4476,P17,0.69
D2749,P291,0.69
D2580,P154,0.69
D3627,P246,0.69
D4477,P493,0.69
D2733,P272,0.69
D227,P272,0.69
D2733,P272,0.69
D227,P272,0.69
D925,P11,0.69
D196,P48,0.69
D4478,P421,0.69
D181,P44,0.69
D81,P32,0.69
D178,P32,0.69
D2704,P30,0.69
D350,P32,0.69
D53,P46,0.69
D4479,P423,0.69
D4480,P89,0.694
D4481,P89,0.694
D227,P494,0.7
D227,P388,0.7
D4482,P494,0.7
D4483,P244,0.7
D4484,P272,0.7
D29,P56,0.7
D253,P207,0.7
D4485,P267,0.7
D4485,P267,0.7
D4486,P108,0.7
D4486,P165,0.7
D4487,P109,0.7
D3322,P344,0.7
D3535,P344,0.7
D3535,P344,0.7
D4488,P344,0.7
D4488,P343,0.7
D4489,P344,0.7
D3721,P344,0.7
D3323,P430,0.7
D3324,P344,0.7
D3723,P344,0.7
D4490,P344,0.7
D4490,P343,0.7
D4491,P344,0.7
D4491,P343,0.7
D3328,P430,0.7
D4492,P344,0.7
D4492,P343,0.7
D3726,P344,0.7
D3726,P344,0.7
D4493,P344,0.7
D3727,P344,0.7
D4494,P344,0.7
D4494,P343,0.7
D3544,P344,0.7
D4495,P343,0.7
D3332,P430,0.7
D3547,P430,0.7
D3547,P344,0.7
D4496,P344,0.7
D4496,P343,0.7
D3548,P430,0.7
D3548,P344,0.7
D3728,P344,0.7
D4497,P343,0.7
D4498,P200,0.7
D4499,P200,0.7
D4500,P200,0.7
D4501,P35,0.7
D4502,P35,0.7
D4503,P35,0.7
D4504,P35,0.7
D4505,P35,0.7
D4506,P89,0.7
D4507,P451,0.7
D4508,P89,0.7
D4509,P237,0.7
D4510,P143,0.7
D4511,P143,0.7
D4512,P140,0.7
D1047,P137,0.7
D4513,P495,0.7
D4514,P132,0.7
D2651,P65,0.7
D265,P207,0.7
D3403,P65,0.7
D4515,P211,0.7
D265,P207,0.7
D3352,P277,0.7
D4516,P295,0.7
D4517,P159,0.7
D4484,P272,0.7
D4518,P135,0.7
D409,P36,0.7
D4519,P335,0.7
D621,P291,0.7
D4520,P148,0.7
D4484,P272,0.7
D4521,P483,0.7
D4522,P47,0.7
D4523,P496,0.7
D4327,P65,0.7
D4524,P65,0.7
D4525,P497,0.7
D4526,P73,0.7
D898,P31,0.7
D130,P46,0.7
D898,P31,0.7
D4527,P209,0.7
D3234,P209,0.7
D2536,P187,0.7
D40,P26,0.7
D40,P26,0.7
D4528,P41,0.7
D4529,P35,0.7
D3234,P209,0.7
D4530,P170,0.7
D4531,P498,0.7
D4532,P77,0.7
D4528,P41,0.7
D4533,P89,0.703
D4534,P43,0.707946
D4535,P121,0.707946
D4536,P310,0.708
D4537,P287,0.708
D4537,P287,0.708
D333,P499,0.71
D4538,P80,0.71
D4539,P44,0.71
D4539,P16,0.71
D4540,P35,0.71
D4541,P35,0.71
D4542,P35,0.71
D4543,P35,0.71
D4544,P42,0.71
D4545,P247,0.71
D2607,P247,0.71
D3403,P65,0.71
D3266,P65,0.71
D4538,P35,0.71
D621,P291,0.71
D3627,P289,0.71
D4534,P43,0.71
D4539,P16,0.71
D3266,P65,0.71
D923,P30,0.71
D898,P46,0.71
D4539,P44,0.71
D4539,P16,0.71
D323,P46,0.71
D898,P46,0.71
D686,P16,0.71
D1119,P11,0.71
D59,P11,0.71
D53,P11,0.71
D4530,P170,0.71
D323,P46,0.71
D4546,P374,0.71
D4547,P89,0.711
D4548,P89,0.711
D4549,P89,0.712
D227,P78,0.72
D4550,P450,0.72
D4551,P35,0.72
D4552,P35,0.72
D4553,P89,0.72
D4554,P89,0.72
D227,P78,0.72
D1124,P500,0.72
D1124,P500,0.72
D1124,P500,0.72
D2608,P301,0.72
D127,P48,0.72
D103,P46,0.72
D977,P129,0.72
D4555,P170,0.72
D4556,P89,0.721
D4557,P89,0.722
D4558,P149,0.724
D4559,P240,0.724436
D2711,P26,0.724436
D2615,P328,0.73
D4560,P405,0.73
D467,P419,0.73
D467,P419,0.73
D4561,P418,0.73
D4562,P35,0.73
D4563,P35,0.73
D4564,P35,0.73
D4565,P42,0.73
D4566,P247,0.73
D4567,P406,0.73
D4568,P63,0.73
D348,P31,0.73
D4478,P421,0.73
D1074,P38,0.73
D273,P38,0.73
D4569,P65,0.73
D4570,P423,0.73
D4571,P89,0.733
D4572,P89,0.737
D4573,P171,0.737
D4574,P290,0.74
D4575,P218,0.74
D4576,P91,0.74
D4576,P91,0.74
D4577,P35,0.74
D4578,P35,0.74
D113,P151,0.74
D4579,P247,0.74
D2733,P65,0.74
D4580,P65,0.74
D4581,P65,0.74
D2699,P501,0.74
D701,P488,0.74
D3631,P317,0.74
D3228,P370,0.74
D3228,P370,0.74
D4582,P384,0.74
D552,P11,0.74
D1074,P38,0.74
D4583,P307,0.74
D2687,P334,0.74
D4584,P502,0.741
D2711,P26,0.74131
D4585,P89,0.748
D4586,P108,0.75
D4587,P35,0.75
D4588,P201,0.75
D4589,P201,0.75
D4590,P201,0.75
D4591,P201,0.75
D4592,P201,0.75
D4593,P201,0.75
D4594,P201,0.75
D4595,P201,0.75
D4596,P201,0.75
D4597,P201,0.75
D4598,P201,0.75
D4599,P201,0.75
D4600,P201,0.75
D4601,P201,0.75
D4602,P201,0.75
D4603,P201,0.75
D4604,P201,0.75
D4605,P201,0.75
D4606,P201,0.75
D4607,P201,0.75
D4608,P201,0.75
D4609,P201,0.75
D4610,P201,0.75
D4611,P201,0.75
D4612,P201,0.75
D4613,P201,0.75
D4614,P201,0.75
D4615,P201,0.75
D4616,P201,0.75
D4617,P201,0.75
D4618,P201,0.75
D4619,P201,0.75
D4620,P202,0.75
D4621,P202,0.75
D4622,P202,0.75
D4623,P202,0.75
D4624,P202,0.75
D4625,P202,0.75
D4626,P202,0.75
D4627,P202,0.75
D4628,P202,0.75
D4629,P202,0.75
D4630,P202,0.75
D4631,P202,0.75
D4632,P202,0.75
D4633,P202,0.75
D4634,P202,0.75
D4635,P202,0.75
D4636,P202,0.75
D4637,P202,0.75
D4638,P202,0.75
D4639,P202,0.75
D4640,P202,0.75
D4641,P202,0.75
D4642,P202,0.75
D4643,P202,0.75
D4644,P202,0.75
D4645,P202,0.75
D4646,P202,0.75
D4647,P202,0.75
D4648,P202,0.75
D4649,P202,0.75
D4650,P202,0.75
D4651,P202,0.75
D4652,P202,0.75
D4653,P202,0.75
D4654,P202,0.75
D4655,P202,0.75
D4656,P202,0.75
D4657,P202,0.75
D4658,P202,0.75
D4659,P202,0.75
D2912,P202,0.75
D4660,P202,0.75
D4661,P202,0.75
D4662,P202,0.75
D4663,P202,0.75
D4664,P202,0.75
D4665,P202,0.75
D4666,P202,0.75
D4667,P202,0.75
D4668,P202,0.75
D4669,P202,0.75
D4670,P202,0.75
D4671,P202,0.75
D4672,P202,0.75
D4673,P202,0.75
D4674,P202,0.75
D4675,P202,0.75
D4676,P202,0.75
D4677,P202,0.75
D4678,P202,0.75
D4679,P202,0.75
D4680,P202,0.75
D4681,P202,0.75
D4682,P202,0.75
D4683,P202,0.75
D4684,P202,0.75
D4685,P202,0.75
D4686,P202,0.75
D4687,P202,0.75
D4688,P202,0.75
D4689,P202,0.75
D4690,P202,0.75
D4691,P202,0.75
D4692,P202,0.75
D4693,P202,0.75
D4694,P202,0.75
D4695,P202,0.75
D4696,P202,0.75
D4697,P202,0.75
D4698,P202,0.75
D4699,P202,0.75
D4700,P202,0.75
D4701,P202,0.75
D4702,P202,0.75
D4703,P202,0.75
D4704,P202,0.75
D4705,P202,0.75
D4706,P202,0.75
D4707,P202,0.75
D4708,P202,0.75
D4709,P202,0.75
D4710,P202,0.75
D4711,P202,0.75
D4712,P202,0.75
D4713,P503,0.75
D4588,P202,0.75
D4589,P202,0.75
D4590,P202,0.75
D4591,P202,0.75
D4592,P202,0.75
D4593,P202,0.75
D4594,P202,0.75
D4595,P202,0.75
D4596,P202,0.75
D4597,P202,0.75
D4598,P202,0.75
D4599,P202,0.75
D4600,P202,0.75
D4601,P202,0.75
D4602,P202,0.75
D4603,P202,0.75
D4604,P202,0.75
D4605,P202,0.75
D4606,P202,0.75
D4607,P202,0.75
D4608,P202,0.75
D4609,P202,0.75
D4610,P202,0.75
D4611,P202,0.75
D4612,P202,0.75
D4613,P202,0.75
D4614,P202,0.75
D4615,P202,0.75
D4616,P202,0.75
D4617,P202,0.75
D4618,P202,0.75
D4619,P202,0.75
D4714,P35,0.75
D4715,P35,0.75
D4588,P202,0.75
D4589,P202,0.75
D4590,P202,0.75
D4591,P202,0.75
D4592,P202,0.75
D4593,P202,0.75
D4594,P202,0.75
D4595,P202,0.75
D4596,P202,0.75
D4597,P202,0.75
D4598,P202,0.75
D4599,P202,0.75
D4600,P202,0.75
D4601,P202,0.75
D4602,P202,0.75
D4603,P202,0.75
D4604,P202,0.75
D4605,P202,0.75
D4606,P202,0.75
D4607,P202,0.75
D4608,P202,0.75
D4609,P202,0.75
D4610,P202,0.75
D4611,P202,0.75
D4612,P202,0.75
D4613,P202,0.75
D4716,P42,0.75
D4436,P299,0.75
D265,P504,0.75
D4717,P247,0.75
D3142,P312,0.75
D4718,P65,0.75
D4719,P505,0.75
D552,P32,0.75
D349,P32,0.75
D976,P46,0.75
D697,P46,0.75
D1050,P46,0.75
D275,P34,0.75
D61,P46,0.75
D3685,P506,0.75
D3382,P507,0.751
D4720,P101,0.753
D4721,P287,0.759
D4722,P257,0.759
D4723,P404,0.76
D4724,P35,0.76
D224,P151,0.76
D4725,P189,0.76
D4726,P65,0.76
D4727,P402,0.76
D859,P36,0.76
D954,P32,0.76
D697,P44,0.76
D59,P48,0.76
D60,P105,0.76
D923,P30,0.76
D3483,P351,0.76
D4728,P89,0.768
D4729,P89,0.769
D4730,P101,0.769
D253,P504,0.77
D4466,P65,0.77
D4731,P405,0.77
D4732,P80,0.77
D4733,P35,0.77
D4734,P451,0.77
D4735,P438,0.77
D265,P504,0.77
D2733,P78,0.77
D265,P209,0.77
D265,P504,0.77
D4736,P93,0.77
D4737,P65,0.77
D331,P508,0.77
D4738,P35,0.77
D69,P48,0.77
D1119,P11,0.77
D128,P34,0.77
D104,P105,0.77
D57,P105,0.77
D76,P48,0.77
D923,P11,0.77
D4739,P509,0.77
D4740,P89,0.774
D4741,P89,0.775
D3293,P164,0.775
D4742,P257,0.776
D4352,P189,0.776247
D4743,P89,0.779
D4744,P89,0.779
D4745,P55,0.78
D4746,P91,0.78
D4747,P268,0.78
D4748,P35,0.78
D4749,P35,0.78
D4750,P35,0.78
D4751,P35,0.78
D4752,P35,0.78
D154,P125,0.78
D4753,P93,0.78
D4754,P93,0.78
D4755,P35,0.78
D4756,P333,0.78
D491,P31,0.78
D3212,P16,0.78
D954,P32,0.78
D4757,P35,0.78
D46,P428,0.784
D4758,P89,0.788
D4759,P89,0.789
D2733,P65,0.79
D621,P398,0.79
D227,P391,0.79
D4760,P290,0.79
D4761,P418,0.79
D4762,P35,0.79
D4763,P35,0.79
D4764,P247,0.79
D265,P510,0.79
D2733,P65,0.79
D2733,P65,0.79
D621,P398,0.79
D701,P334,0.79
D227,P391,0.79
D621,P398,0.79
D621,P398,0.79
D227,P391,0.79
D4765,P483,0.79
D3716,P485,0.79
D458,P31,0.79
D2531,P44,0.79
D2665,P65,0.79
D4766,P33,0.794
D4767,P33,0.794
D4768,P33,0.794
D4769,P33,0.794
D3181,P511,0.794
D4770,P188,0.794
D4771,P149,0.794
D4772,P149,0.794
D4773,P149,0.794
D4774,P149,0.794
D4775,P512,0.794
D4776,P240,0.794328
D4484,P272,0.794328
D1032,P150,0.794328
D4777,P72,0.794328
D4777,P72,0.794328
D4778,P513,0.794328
D3142,P312,0.794328
D1131,P264,0.8
D4779,P267,0.8
D4779,P267,0.8
D4780,P135,0.8
D4781,P135,0.8
D4782,P57,0.8
D4783,P344,0.8
D4783,P343,0.8
D2765,P430,0.8
D3534,P344,0.8
D4784,P343,0.8
D4489,P343,0.8
D4785,P344,0.8
D4785,P343,0.8
D4786,P344,0.8
D4786,P343,0.8
D4787,P344,0.8
D4787,P343,0.8
D4788,P344,0.8
D4788,P343,0.8
D3536,P344,0.8
D4789,P343,0.8
D4790,P344,0.8
D4790,P343,0.8
D4493,P343,0.8
D4791,P344,0.8
D2773,P430,0.8
D3333,P430,0.8
D3334,P430,0.8
D4497,P344,0.8
D3551,P200,0.8
D4792,P35,0.8
D4793,P35,0.8
D4794,P35,0.8
D4795,P89,0.8
D380,P122,0.8
D4796,P514,0.8
D4797,P179,0.8
D1124,P328,0.8
D4798,P143,0.8
D4799,P211,0.8
D4800,P212,0.8
D621,P65,0.8
D1131,P24,0.8
D4801,P44,0.8
D2509,P277,0.8
D4802,P186,0.8
D4803,P186,0.8
D4804,P135,0.8
D4805,P515,0.8
D4806,P515,0.8
D621,P65,0.8
D4807,P135,0.8
D3575,P466,0.8
D4808,P65,0.8
D4331,P516,0.8
D3521,P197,0.8
D177,P44,0.8
D491,P34,0.8
D188,P48,0.8
D925,P32,0.8
D62,P46,0.8
D552,P32,0.8
D552,P11,0.8
D349,P32,0.8
D54,P32,0.8
D4809,P517,0.8
D496,P453,0.8
D4343,P155,0.8
D227,P391,0.8
D2627,P307,0.8
D4810,P89,0.808
D4811,P57,0.81
D4812,P290,0.81
D4813,P451,0.81
D1124,P241,0.81
D1124,P241,0.81
D4814,P247,0.81
D227,P291,0.81
D1124,P241,0.81
D1124,P241,0.81
D1116,P518,0.81
D3641,P481,0.81
D4815,P226,0.81
D4816,P73,0.81
D4776,P240,0.812831
D4817,P113,0.812831
D4818,P287,0.813
D4819,P35,0.82
D4820,P35,0.82
D222,P65,0.82
D4821,P247,0.82
D4822,P177,0.82
D4823,P132,0.82
D701,P260,0.82
D1114,P260,0.82
D701,P65,0.82
D4824,P209,0.82
D4825,P135,0.82
D75,P46,0.82
D353,P48,0.82
D4826,P129,0.82
D4819,P35,0.82
D4827,P89,0.822
D4828,P89,0.823
D4829,P89,0.829
D4830,P44,0.83
D874,P26,0.83
D4831,P57,0.83
D4832,P80,0.83
D4833,P35,0.83
D4834,P35,0.83
D2700,P260,0.83
D4835,P488,0.83
D4836,P35,0.83
D4837,P519,0.83
D3517,P520,0.83
D2749,P466,0.83
D26,P48,0.83
D4838,P521,0.83
D2526,P16,0.83
D86,P30,0.83
D49,P105,0.83
D526,P38,0.83
D166,P11,0.83
D50,P11,0.83
D2532,P11,0.83
D53,P16,0.83
D61,P32,0.83
D4839,P65,0.83
D676,P337,0.831764
D4840,P287,0.832
D4841,P257,0.832
D4842,P35,0.84
D4843,P89,0.84
D140,P230,0.84
D2531,P44,0.84
D429,P46,0.84
D4844,P402,0.84
D3274,P33,0.84
D4845,P173,0.84
D3714,P155,0.84
D29,P522,0.841
D3527,P280,0.85
D3527,P280,0.85
D3234,P223,0.85
D227,P523,0.85
D4846,P35,0.85
D4847,P143,0.85
D4848,P93,0.85
D3234,P209,0.85
D3234,P209,0.85
D3517,P524,0.85
D227,P523,0.85
D227,P523,0.85
D925,P32,0.85
D4849,P43,0.85
D4850,P193,0.85
D4851,P525,0.85
D4852,P10,0.851
D4853,P10,0.851
D4854,P526,0.851
D4855,P257,0.851
D4856,P82,0.851
D4857,P89,0.858
D4858,P15,0.859
D4859,P503,0.86
D154,P151,0.86
D4860,P33,0.86
D4861,P33,0.86
D4862,P247,0.86
D4863,P438,0.86
D265,P527,0.86
D265,P446,0.86
D2749,P291,0.86
D4727,P402,0.86
D3517,P386,0.86
D4864,P528,0.86
D4865,P93,0.86
D1095,P7,0.86
D3641,P529,0.86
D4866,P505,0.86
D147,P46,0.86
D4867,P101,0.865
D4868,P89,0.866
D4869,P136,0.87
D4870,P35,0.87
D4871,P451,0.87
D4872,P35,0.87
D3444,P270,0.87
D4520,P148,0.87
D4520,P148,0.87
D4873,P89,0.877
D4874,P89,0.877
D4875,P35,0.88
D4876,P35,0.88
D4877,P35,0.88
D3627,P78,0.88
D4878,P226,0.88
D69,P16,0.88
D4879,P530,0.88
D4880,P34,0.88
D3426,P402,0.88
D4826,P129,0.88
D4881,P531,0.88
D4881,P531,0.88
D4882,P209,0.88
D4882,P209,0.88
D4883,P41,0.88
D4884,P35,0.88
D4885,P73,0.88
D4886,P193,0.88
D4887,P423,0.88
D113,P122,0.89
D265,P532,0.89
D2512,P7,0.89
D4888,P382,0.89
D859,P11,0.89
D2633,P11,0.89
D552,P46,0.89
D543,P44,0.89
D552,P46,0.89
D543,P44,0.89
D4889,P423,0.89
D4890,P10,0.891
D4891,P257,0.891
D4892,P257,0.891
D3505,P148,0.891
D4888,P382,0.891251
D4893,P26,0.891251
D3505,P148,0.891251
D4894,P89,0.896
D4895,P89,0.897
D4896,P89,0.899
D4897,P244,0.9
D4898,P57,0.9
D3571,P533,0.9
D4899,P343,0.9
D3534,P430,0.9
D4900,P344,0.9
D4784,P344,0.9
D4901,P344,0.9
D4901,P343,0.9
D4902,P343,0.9
D4491,P430,0.9
D4789,P344,0.9
D3326,P430,0.9
D4903,P344,0.9
D4904,P344,0.9
D4904,P343,0.9
D3540,P430,0.9
D3541,P430,0.9
D4791,P343,0.9
D3542,P430,0.9
D3543,P430,0.9
D3544,P430,0.9
D3545,P430,0.9
D3546,P430,0.9
D4905,P200,0.9
D4906,P200,0.9
D4907,P35,0.9
D4908,P35,0.9
D4909,P89,0.9
D4910,P89,0.9
D4911,P89,0.9
D258,P122,0.9
D1124,P409,0.9
D4912,P44,0.9
D4314,P93,0.9
D701,P65,0.9
D397,P81,0.9
D4913,P211,0.9
D2772,P343,0.9
D4914,P121,0.9
D969,P7,0.9
D4915,P280,0.9
D4380,P52,0.9
D4380,P52,0.9
D4916,P534,0.9
D4917,P65,0.9
D2608,P301,0.9
D2504,P65,0.9
D4478,P470,0.9
D131,P48,0.9
D72,P48,0.9
D71,P48,0.9
D90,P48,0.9
D4918,P129,0.9
D4919,P260,0.9
D4919,P260,0.9
D4920,P35,0.9
D4921,P170,0.9
D496,P198,0.9
D4922,P89,0.904
D2756,P26,0.91
D4923,P405,0.91
D4924,P35,0.91
D4925,P35,0.91
D4926,P78,0.91
D307,P65,0.91
D258,P400,0.91
D239,P151,0.91
D3265,P209,0.91
D375,P44,0.91
D2682,P321,0.91
D332,P48,0.91
D2517,P148,0.91
D511,P38,0.91
D132,P46,0.91
D129,P46,0.91
D4927,P27,0.91
D3685,P535,0.91
D4928,P168,0.91
D2710,P217,0.912
D4929,P164,0.912
D4930,P223,0.92
D4931,P405,0.92
D3240,P35,0.92
D4932,P35,0.92
D4930,P209,0.92
D4930,P209,0.92
D2733,P111,0.92
D2733,P111,0.92
D4933,P35,0.92
D2633,P44,0.92
D4934,P123,0.92
D105,P48,0.92
D51,P34,0.92
D4935,P155,0.92
D4936,P89,0.922
D3265,P209,0.93
D3627,P78,0.93
D2733,P78,0.93
D4937,P422,0.93
D3517,P504,0.93
D429,P46,0.93
D4938,P30,0.93
D54,P48,0.93
D4412,P32,0.93
D4939,P89,0.933
D4940,P101,0.933
D3411,P26,0.933254
D4941,P89,0.938
D4942,P405,0.94
D4943,P73,0.94
D3621,P209,0.94
D4944,P536,0.94
D2733,P537,0.94
D3467,P193,0.94
D4945,P209,0.94
D3621,P209,0.94
D4946,P538,0.94
D4947,P56,0.94
D4948,P3,0.94
D4949,P89,0.943
D4950,P89,0.943
D4951,P89,0.944
D4952,P89,0.947
D4953,P89,0.948
D333,P539,0.95
D4954,P35,0.95
D4955,P35,0.95
D4956,P278,0.95
D4957,P89,0.95
D4958,P17,0.95
D4959,P529,0.95
D3517,P540,0.95
D86,P44,0.95
D2531,P38,0.95
D2633,P11,0.95
D954,P48,0.95
D2587,P129,0.95
D4960,P72,0.954993
D4960,P72,0.954993
D4961,P89,0.959
D227,P78,0.96
D4962,P405,0.96
D4963,P35,0.96
D4964,P451,0.96
D4965,P451,0.96
D153,P541,0.96
D472,P139,0.96
D227,P78,0.96
D4966,P506,0.96
D4580,P291,0.96
D701,P173,0.96
D954,P48,0.96
D57,P32,0.96
D179,P32,0.96
D305,P105,0.96
D2633,P44,0.96
D1104,P129,0.96
D4967,P89,0.962
D3219,P220,0.963
D2731,P82,0.968
D4968,P57,0.97
D4969,P224,0.97
D4970,P41,0.97
D4971,P35,0.97
D4972,P35,0.97
D4973,P35,0.97
D4974,P35,0.97
D4975,P35,0.97
D4976,P35,0.97
D224,P122,0.97
D1092,P253,0.97
D3234,P209,0.97
D265,P542,0.97
D3234,P209,0.97
D2532,P44,0.97
D162,P46,0.97
D4977,P129,0.97
D4978,P492,0.97
D4978,P492,0.97
D4979,P89,0.977
D4980,P287,0.977
D244,P175,0.977237
D676,P366,0.977237
D4981,P121,0.977237
D3621,P209,0.98
D333,P543,0.98
D4982,P35,0.98
D4983,P91,0.98
D3621,P209,0.98
D3621,P209,0.98
D4984,P65,0.98
D4985,P65,0.98
D4986,P35,0.98
D575,P32,0.98
D93,P32,0.98
D2633,P30,0.98
D167,P46,0.98
D4977,P129,0.98
D94,P32,0.98
D4987,P423,0.98
D4988,P26,0.98
D2633,P30,0.984
D4989,P89,0.985
D4990,P89,0.989
D621,P65,0.99
D4991,P405,0.99
D4992,P35,0.99
D621,P65,0.99
D4993,P65,0.99
D621,P65,0.99
D3631,P317,0.99
D3267,P32,0.99
D4333,P365,0.99
D1118,P48,0.99
D3682,P544,0.99
D621,P65,0.99
D227,P545,1
D227,P546,1
D227,P547,1
D4482,P426,1
D4482,P546,1
D4482,P339,1
D4482,P547,1
D4482,P388,1
D4994,P25,1
D3531,P47,1
D284,P47,1
D626,P56,1
D3621,P209,1
D227,P548,1
D253,P549,1
D621,P550,1
D4995,P55,1
D4996,P405,1
D4997,P405,1
D333,P551,1
D4998,P552,1
D4998,P553,1
D4998,P554,1
D4999,P344,1
D4999,P343,1
D5000,P343,1
D3322,P430,1
D3535,P430,1
D4900,P343,1
D5001,P344,1
D5001,P343,1
D5002,P344,1
D3324,P430,1
D4903,P343,1
D3327,P430,1
D5003,P343,1
D5004,P199,1
D5004,P25,1
D5005,P346,1
D5006,P346,1
D5007,P346,1
D5008,P346,1
D5007,P346,1
D5004,P25,1
D5009,P418,1
D5009,P418,1
D5010,P41,1
D5011,P41,1
D5012,P41,1
D5013,P41,1
D5014,P41,1
D5015,P41,1
D5016,P41,1
D5017,P41,1
D5018,P41,1
D5019,P41,1
D5020,P41,1
D5021,P41,1
D5022,P41,1
D5023,P41,1
D5024,P41,1
D5025,P41,1
D5026,P41,1
D5027,P41,1
D5028,P41,1
D5029,P41,1
D5030,P41,1
D5031,P41,1
D5032,P41,1
D5033,P41,1
D5034,P41,1
D5035,P41,1
D5036,P41,1
D5037,P41,1
D5038,P41,1
D5039,P41,1
D5040,P41,1
D5041,P41,1
D5042,P41,1
D5043,P41,1
D5044,P41,1
D5045,P41,1
D5046,P41,1
D5047,P41,1
D5048,P41,1
D5049,P41,1
D5050,P41,1
D5051,P41,1
D5052,P41,1
D5053,P41,1
D5054,P41,1
D5055,P41,1
D5056,P41,1
D5057,P41,1
D5058,P41,1
D5059,P41,1
D5060,P41,1
D5061,P41,1
D5062,P41,1
D5063,P41,1
D5064,P41,1
D5065,P41,1
D5066,P41,1
D5067,P41,1
D5068,P41,1
D5069,P41,1
D5070,P41,1
D5071,P41,1
D5072,P41,1
D5073,P41,1
D5074,P41,1
D5075,P41,1
D5076,P41,1
D5077,P41,1
D5078,P41,1
D5079,P41,1
D5080,P41,1
D5081,P41,1
D5082,P41,1
D5083,P41,1
D5084,P41,1
D5085,P41,1
D5086,P41,1
D5087,P41,1
D5088,P41,1
D5089,P41,1
D5090,P41,1
D5091,P41,1
D5092,P41,1
D5093,P41,1
D5094,P41,1
D5095,P41,1
D5096,P41,1
D5097,P41,1
D5098,P41,1
D5099,P41,1
D5100,P41,1
D5101,P41,1
D5102,P41,1
D5103,P41,1
D5104,P41,1
D5105,P41,1
D5106,P41,1
D5107,P41,1
D5108,P41,1
D5109,P41,1
D5110,P41,1
D5111,P41,1
D5112,P41,1
D5113,P41,1
D5114,P41,1
D5115,P41,1
D5116,P41,1
D5117,P41,1
D5118,P41,1
D5119,P41,1
D5120,P41,1
D5121,P41,1
D5122,P41,1
D5123,P41,1
D5124,P41,1
D5125,P41,1
D5126,P41,1
D5127,P41,1
D5128,P41,1
D5129,P41,1
D5130,P41,1
D5131,P41,1
D5132,P41,1
D5133,P41,1
D5134,P41,1
D5135,P41,1
D5136,P41,1
D5137,P41,1
D5138,P41,1
D5139,P41,1
D5140,P41,1
D5141,P41,1
D5142,P41,1
D5143,P41,1
D5142,P41,1
D5144,P41,1
D5145,P41,1
D5146,P41,1
D5147,P41,1
D5148,P41,1
D5149,P41,1
D5150,P41,1
D5151,P41,1
D5152,P41,1
D5153,P41,1
D5154,P41,1
D5155,P41,1
D5156,P41,1
D5157,P41,1
